CRM ID,Analysis Method,Element,Unit,Certified Value,1SD
OREAS 100a,Laser Ablation ICP-MS,Ag,ppm,0.1,IND
OREAS 100a,Laser Ablation ICP-MS,Ho,ppm,4.915,IND
OREAS 100a,Laser Ablation ICP-MS,Sn,ppm,9.6,IND
OREAS 100a,Laser Ablation ICP-MS,As,ppm,14.9,IND
OREAS 100a,Laser Ablation ICP-MS,In,ppm,0.0625,IND
OREAS 100a,Laser Ablation ICP-MS,Sr,ppm,35.4,IND
OREAS 100a,Laser Ablation ICP-MS,Ba,ppm,410.5,IND
OREAS 100a,Laser Ablation ICP-MS,La,ppm,271.5,IND
OREAS 100a,Laser Ablation ICP-MS,Ta,ppm,3.69,IND
OREAS 100a,Laser Ablation ICP-MS,Be,ppm,3.8,IND
OREAS 100a,Laser Ablation ICP-MS,Lu,ppm,2.16,IND
OREAS 100a,Laser Ablation ICP-MS,Tb,ppm,3.635,IND
OREAS 100a,Laser Ablation ICP-MS,Bi,ppm,0.4,IND
OREAS 100a,Laser Ablation ICP-MS,Mn,wt.%,0.05125,IND
OREAS 100a,Laser Ablation ICP-MS,Te,ppm,< 0.2,IND
OREAS 100a,Laser Ablation ICP-MS,Cd,ppm,< 0.1,IND
OREAS 100a,Laser Ablation ICP-MS,Mo,ppm,19.9,IND
OREAS 100a,Laser Ablation ICP-MS,Th,ppm,51.1,IND
OREAS 100a,Laser Ablation ICP-MS,Ce,ppm,453,IND
OREAS 100a,Laser Ablation ICP-MS,Nb,ppm,41.9,IND
OREAS 100a,Laser Ablation ICP-MS,Ti,wt.%,0.2445,IND
OREAS 100a,Laser Ablation ICP-MS,Co,ppm,17.7,IND
OREAS 100a,Laser Ablation ICP-MS,Nd,ppm,151,IND
OREAS 100a,Laser Ablation ICP-MS,Tl,ppm,0.4,IND
OREAS 100a,Laser Ablation ICP-MS,Cr,ppm,39.5,IND
OREAS 100a,Laser Ablation ICP-MS,Ni,ppm,13,IND
OREAS 100a,Laser Ablation ICP-MS,Tm,ppm,2.51,IND
OREAS 100a,Laser Ablation ICP-MS,Cs,ppm,2.83,IND
OREAS 100a,Laser Ablation ICP-MS,Pb,ppm,12.5,IND
OREAS 100a,Laser Ablation ICP-MS,U,ppm,134,IND
OREAS 100a,Laser Ablation ICP-MS,Cu,ppm,171,IND
OREAS 100a,Laser Ablation ICP-MS,Pr,ppm,48.65,IND
OREAS 100a,Laser Ablation ICP-MS,V,ppm,35.8,IND
OREAS 100a,Laser Ablation ICP-MS,Dy,ppm,24.35,IND
OREAS 100a,Laser Ablation ICP-MS,Rb,ppm,256,IND
OREAS 100a,Laser Ablation ICP-MS,W,ppm,9.325,IND
OREAS 100a,Laser Ablation ICP-MS,Er,ppm,15.65,IND
OREAS 100a,Laser Ablation ICP-MS,Re,ppm,0.075,IND
OREAS 100a,Laser Ablation ICP-MS,Y,ppm,141,IND
OREAS 100a,Laser Ablation ICP-MS,Eu,ppm,4.12,IND
OREAS 100a,Laser Ablation ICP-MS,Sb,ppm,1.1,IND
OREAS 100a,Laser Ablation ICP-MS,Yb,ppm,15.15,IND
OREAS 100a,Laser Ablation ICP-MS,Ga,ppm,19.5,IND
OREAS 100a,Laser Ablation ICP-MS,Sc,ppm,6.1,IND
OREAS 100a,Laser Ablation ICP-MS,Zn,ppm,20,IND
OREAS 100a,Laser Ablation ICP-MS,Gd,ppm,21.65,IND
OREAS 100a,Laser Ablation ICP-MS,Se,ppm,3.75,IND
OREAS 100a,Laser Ablation ICP-MS,Zr,ppm,507,IND
OREAS 100a,Laser Ablation ICP-MS,Hf,ppm,16.25,IND
OREAS 100a,Laser Ablation ICP-MS,Sm,ppm,25.1,IND
OREAS 100a,Borate Fusion XRF,Al2O3,wt.%,11.38,IND
OREAS 100a,Borate Fusion XRF,Fe2O3,wt.%,6.66,IND
OREAS 100a,Borate Fusion XRF,Pb,ppm,12.5,IND
OREAS 100a,Borate Fusion XRF,As,ppm,20,IND
OREAS 100a,Borate Fusion XRF,K2O,wt.%,4.67,IND
OREAS 100a,Borate Fusion XRF,SiO2,wt.%,70.02,IND
OREAS 100a,Borate Fusion XRF,Ba,ppm,405,IND
OREAS 100a,Borate Fusion XRF,MgO,wt.%,1.405,IND
OREAS 100a,Borate Fusion XRF,Sn,ppm,20,IND
OREAS 100a,Borate Fusion XRF,CaO,wt.%,1.56,IND
OREAS 100a,Borate Fusion XRF,MnO,wt.%,0.08,IND
OREAS 100a,Borate Fusion XRF,SO3,wt.%,0.114,IND
OREAS 100a,Borate Fusion XRF,Co,ppm,25,IND
OREAS 100a,Borate Fusion XRF,Na2O,wt.%,0.17,IND
OREAS 100a,Borate Fusion XRF,TiO2,wt.%,0.397,IND
OREAS 100a,Borate Fusion XRF,Cr,ppm,35,IND
OREAS 100a,Borate Fusion XRF,Ni,ppm,20,IND
OREAS 100a,Borate Fusion XRF,U,ppm,135,IND
OREAS 100a,Borate Fusion XRF,Cu,ppm,175,IND
OREAS 100a,Borate Fusion XRF,P2O5,wt.%,0.125,IND
OREAS 100a,Borate Fusion XRF,Zn,ppm,30,IND
OREAS 100a,Thermogravimetry,LOI1000,wt.%,3.17,IND
OREAS 101a,Laser Ablation ICP-MS,Ag,ppm,0.4,IND
OREAS 101a,Laser Ablation ICP-MS,Ho,ppm,6.875,IND
OREAS 101a,Laser Ablation ICP-MS,Sn,ppm,11,IND
OREAS 101a,Laser Ablation ICP-MS,As,ppm,13.7,IND
OREAS 101a,Laser Ablation ICP-MS,In,ppm,0.0375,IND
OREAS 101a,Laser Ablation ICP-MS,Sr,ppm,21.4,IND
OREAS 101a,Laser Ablation ICP-MS,Ba,ppm,165,IND
OREAS 101a,Laser Ablation ICP-MS,La,ppm,861,IND
OREAS 101a,Laser Ablation ICP-MS,Ta,ppm,2.985,IND
OREAS 101a,Laser Ablation ICP-MS,Be,ppm,5.6,IND
OREAS 101a,Laser Ablation ICP-MS,Lu,ppm,2.535,IND
OREAS 101a,Laser Ablation ICP-MS,Tb,ppm,5.655,IND
OREAS 101a,Laser Ablation ICP-MS,Bi,ppm,0.49,IND
OREAS 101a,Laser Ablation ICP-MS,Mn,wt.%,0.0939,IND
OREAS 101a,Laser Ablation ICP-MS,Te,ppm,0.3,IND
OREAS 101a,Laser Ablation ICP-MS,Cd,ppm,< 0.1,IND
OREAS 101a,Laser Ablation ICP-MS,Mo,ppm,19.5,IND
OREAS 101a,Laser Ablation ICP-MS,Th,ppm,36.15,IND
OREAS 101a,Laser Ablation ICP-MS,Ce,ppm,1355,IND
OREAS 101a,Laser Ablation ICP-MS,Nb,ppm,59.15,IND
OREAS 101a,Laser Ablation ICP-MS,Ti,wt.%,0.3925,IND
OREAS 101a,Laser Ablation ICP-MS,Co,ppm,48.05,IND
OREAS 101a,Laser Ablation ICP-MS,Nd,ppm,401,IND
OREAS 101a,Laser Ablation ICP-MS,Tl,ppm,0.2,IND
OREAS 101a,Laser Ablation ICP-MS,Cr,ppm,34.5,IND
OREAS 101a,Laser Ablation ICP-MS,Ni,ppm,10,IND
OREAS 101a,Laser Ablation ICP-MS,Tm,ppm,3.19,IND
OREAS 101a,Laser Ablation ICP-MS,Cs,ppm,2.385,IND
OREAS 101a,Laser Ablation ICP-MS,Pb,ppm,20.5,IND
OREAS 101a,Laser Ablation ICP-MS,U,ppm,417.5,IND
OREAS 101a,Laser Ablation ICP-MS,Cu,ppm,422,IND
OREAS 101a,Laser Ablation ICP-MS,Pr,ppm,138,IND
OREAS 101a,Laser Ablation ICP-MS,V,ppm,77.95,IND
OREAS 101a,Laser Ablation ICP-MS,Dy,ppm,33.65,IND
OREAS 101a,Laser Ablation ICP-MS,Rb,ppm,185,IND
OREAS 101a,Laser Ablation ICP-MS,W,ppm,18.5,IND
OREAS 101a,Laser Ablation ICP-MS,Er,ppm,20.85,IND
OREAS 101a,Laser Ablation ICP-MS,Re,ppm,0.08,IND
OREAS 101a,Laser Ablation ICP-MS,Y,ppm,187.5,IND
OREAS 101a,Laser Ablation ICP-MS,Eu,ppm,8.875,IND
OREAS 101a,Laser Ablation ICP-MS,Sb,ppm,1.05,IND
OREAS 101a,Laser Ablation ICP-MS,Yb,ppm,18.35,IND
OREAS 101a,Laser Ablation ICP-MS,Ga,ppm,18.3,IND
OREAS 101a,Laser Ablation ICP-MS,Sc,ppm,8.95,IND
OREAS 101a,Laser Ablation ICP-MS,Zn,ppm,15,IND
OREAS 101a,Laser Ablation ICP-MS,Gd,ppm,38.65,IND
OREAS 101a,Laser Ablation ICP-MS,Se,ppm,6.25,IND
OREAS 101a,Laser Ablation ICP-MS,Zr,ppm,367,IND
OREAS 101a,Laser Ablation ICP-MS,Hf,ppm,10.95,IND
OREAS 101a,Laser Ablation ICP-MS,Sm,ppm,54.4,IND
OREAS 101a,Borate Fusion XRF,Al2O3,wt.%,10.335,IND
OREAS 101a,Borate Fusion XRF,Fe2O3,wt.%,15.975,IND
OREAS 101a,Borate Fusion XRF,Pb,ppm,20,IND
OREAS 101a,Borate Fusion XRF,As,ppm,20,IND
OREAS 101a,Borate Fusion XRF,K2O,wt.%,2.745,IND
OREAS 101a,Borate Fusion XRF,SiO2,wt.%,61.885,IND
OREAS 101a,Borate Fusion XRF,Ba,ppm,155,IND
OREAS 101a,Borate Fusion XRF,MgO,wt.%,2.04,IND
OREAS 101a,Borate Fusion XRF,Sn,ppm,< 10,IND
OREAS 101a,Borate Fusion XRF,CaO,wt.%,1.605,IND
OREAS 101a,Borate Fusion XRF,MnO,wt.%,0.13,IND
OREAS 101a,Borate Fusion XRF,SO3,wt.%,0.237,IND
OREAS 101a,Borate Fusion XRF,Co,ppm,50,IND
OREAS 101a,Borate Fusion XRF,Na2O,wt.%,0.1,IND
OREAS 101a,Borate Fusion XRF,TiO2,wt.%,0.655,IND
OREAS 101a,Borate Fusion XRF,Cr,ppm,25,IND
OREAS 101a,Borate Fusion XRF,Ni,ppm,20,IND
OREAS 101a,Borate Fusion XRF,U,ppm,405,IND
OREAS 101a,Borate Fusion XRF,Cu,ppm,415,IND
OREAS 101a,Borate Fusion XRF,P2O5,wt.%,0.296,IND
OREAS 101a,Borate Fusion XRF,Zn,ppm,25,IND
OREAS 101a,Thermogravimetry,LOI1000,wt.%,3.465,IND
OREAS 101b,Laser Ablation ICP-MS,Ag,ppm,0.45,IND
OREAS 101b,Laser Ablation ICP-MS,Ho,ppm,6.495,IND
OREAS 101b,Laser Ablation ICP-MS,Sn,ppm,9.8,IND
OREAS 101b,Laser Ablation ICP-MS,As,ppm,14,IND
OREAS 101b,Laser Ablation ICP-MS,In,ppm,0.05,IND
OREAS 101b,Laser Ablation ICP-MS,Sr,ppm,22.1,IND
OREAS 101b,Laser Ablation ICP-MS,Ba,ppm,171,IND
OREAS 101b,Laser Ablation ICP-MS,La,ppm,803.5,IND
OREAS 101b,Laser Ablation ICP-MS,Ta,ppm,2.94,IND
OREAS 101b,Laser Ablation ICP-MS,Be,ppm,7,IND
OREAS 101b,Laser Ablation ICP-MS,Lu,ppm,2.5,IND
OREAS 101b,Laser Ablation ICP-MS,Tb,ppm,5.4,IND
OREAS 101b,Laser Ablation ICP-MS,Bi,ppm,0.36,IND
OREAS 101b,Laser Ablation ICP-MS,Mn,wt.%,0.0901,IND
OREAS 101b,Laser Ablation ICP-MS,Te,ppm,0.4,IND
OREAS 101b,Laser Ablation ICP-MS,Cd,ppm,< 0.1,IND
OREAS 101b,Laser Ablation ICP-MS,Mo,ppm,19,IND
OREAS 101b,Laser Ablation ICP-MS,Th,ppm,36.85,IND
OREAS 101b,Laser Ablation ICP-MS,Ce,ppm,1295,IND
OREAS 101b,Laser Ablation ICP-MS,Nb,ppm,56,IND
OREAS 101b,Laser Ablation ICP-MS,Ti,wt.%,0.3675,IND
OREAS 101b,Laser Ablation ICP-MS,Co,ppm,41.75,IND
OREAS 101b,Laser Ablation ICP-MS,Nd,ppm,369,IND
OREAS 101b,Laser Ablation ICP-MS,Tl,ppm,0.15,IND
OREAS 101b,Laser Ablation ICP-MS,Cr,ppm,32,IND
OREAS 101b,Laser Ablation ICP-MS,Ni,ppm,11,IND
OREAS 101b,Laser Ablation ICP-MS,Tm,ppm,2.985,IND
OREAS 101b,Laser Ablation ICP-MS,Cs,ppm,2.425,IND
OREAS 101b,Laser Ablation ICP-MS,Pb,ppm,19,IND
OREAS 101b,Laser Ablation ICP-MS,U,ppm,384.5,IND
OREAS 101b,Laser Ablation ICP-MS,Cu,ppm,391,IND
OREAS 101b,Laser Ablation ICP-MS,Pr,ppm,129,IND
OREAS 101b,Laser Ablation ICP-MS,V,ppm,74.55,IND
OREAS 101b,Laser Ablation ICP-MS,Dy,ppm,32.3,IND
OREAS 101b,Laser Ablation ICP-MS,Rb,ppm,186.5,IND
OREAS 101b,Laser Ablation ICP-MS,W,ppm,17.55,IND
OREAS 101b,Laser Ablation ICP-MS,Er,ppm,19,IND
OREAS 101b,Laser Ablation ICP-MS,Re,ppm,0.055,IND
OREAS 101b,Laser Ablation ICP-MS,Y,ppm,179,IND
OREAS 101b,Laser Ablation ICP-MS,Eu,ppm,8.675,IND
OREAS 101b,Laser Ablation ICP-MS,Sb,ppm,0.65,IND
OREAS 101b,Laser Ablation ICP-MS,Yb,ppm,17.7,IND
OREAS 101b,Laser Ablation ICP-MS,Ga,ppm,18.7,IND
OREAS 101b,Laser Ablation ICP-MS,Sc,ppm,8.7,IND
OREAS 101b,Laser Ablation ICP-MS,Zn,ppm,10,IND
OREAS 101b,Laser Ablation ICP-MS,Gd,ppm,35.1,IND
OREAS 101b,Laser Ablation ICP-MS,Se,ppm,3.75,IND
OREAS 101b,Laser Ablation ICP-MS,Zr,ppm,370.5,IND
OREAS 101b,Laser Ablation ICP-MS,Hf,ppm,10.8,IND
OREAS 101b,Laser Ablation ICP-MS,Sm,ppm,50.15,IND
OREAS 101b,Borate Fusion XRF,Al2O3,wt.%,10.475,IND
OREAS 101b,Borate Fusion XRF,Fe2O3,wt.%,15.27,IND
OREAS 101b,Borate Fusion XRF,Pb,ppm,12.5,IND
OREAS 101b,Borate Fusion XRF,As,ppm,20,IND
OREAS 101b,Borate Fusion XRF,K2O,wt.%,2.855,IND
OREAS 101b,Borate Fusion XRF,SiO2,wt.%,62.4,IND
OREAS 101b,Borate Fusion XRF,Ba,ppm,145,IND
OREAS 101b,Borate Fusion XRF,MgO,wt.%,2.08,IND
OREAS 101b,Borate Fusion XRF,Sn,ppm,< 10,IND
OREAS 101b,Borate Fusion XRF,CaO,wt.%,1.64,IND
OREAS 101b,Borate Fusion XRF,MnO,wt.%,0.13,IND
OREAS 101b,Borate Fusion XRF,SO3,wt.%,0.225,IND
OREAS 101b,Borate Fusion XRF,Co,ppm,40,IND
OREAS 101b,Borate Fusion XRF,Na2O,wt.%,0.1,IND
OREAS 101b,Borate Fusion XRF,TiO2,wt.%,0.646,IND
OREAS 101b,Borate Fusion XRF,Cr,ppm,30,IND
OREAS 101b,Borate Fusion XRF,Ni,ppm,20,IND
OREAS 101b,Borate Fusion XRF,U,ppm,385,IND
OREAS 101b,Borate Fusion XRF,Cu,ppm,400,IND
OREAS 101b,Borate Fusion XRF,P2O5,wt.%,0.2855,IND
OREAS 101b,Borate Fusion XRF,Zn,ppm,25,IND
OREAS 101b,Thermogravimetry,LOI1000,wt.%,3.48,IND
OREAS 102a,Laser Ablation ICP-MS,Ag,ppm,0.125,IND
OREAS 102a,Laser Ablation ICP-MS,Ho,ppm,3.71,IND
OREAS 102a,Laser Ablation ICP-MS,Sn,ppm,7.5,IND
OREAS 102a,Laser Ablation ICP-MS,As,ppm,10.6,IND
OREAS 102a,Laser Ablation ICP-MS,In,ppm,0.0625,IND
OREAS 102a,Laser Ablation ICP-MS,Sr,ppm,39.95,IND
OREAS 102a,Laser Ablation ICP-MS,Ba,ppm,334,IND
OREAS 102a,Laser Ablation ICP-MS,La,ppm,336.5,IND
OREAS 102a,Laser Ablation ICP-MS,Ta,ppm,2.9,IND
OREAS 102a,Laser Ablation ICP-MS,Be,ppm,3.1,IND
OREAS 102a,Laser Ablation ICP-MS,Lu,ppm,1.53,IND
OREAS 102a,Laser Ablation ICP-MS,Tb,ppm,3.03,IND
OREAS 102a,Laser Ablation ICP-MS,Bi,ppm,0.13,IND
OREAS 102a,Laser Ablation ICP-MS,Mn,wt.%,0.04365,IND
OREAS 102a,Laser Ablation ICP-MS,Te,ppm,0.25,IND
OREAS 102a,Laser Ablation ICP-MS,Cd,ppm,< 0.1,IND
OREAS 102a,Laser Ablation ICP-MS,Mo,ppm,12.9,IND
OREAS 102a,Laser Ablation ICP-MS,Th,ppm,39.65,IND
OREAS 102a,Laser Ablation ICP-MS,Ce,ppm,568,IND
OREAS 102a,Laser Ablation ICP-MS,Nb,ppm,34.55,IND
OREAS 102a,Laser Ablation ICP-MS,Ti,wt.%,0.172,IND
OREAS 102a,Laser Ablation ICP-MS,Co,ppm,38.75,IND
OREAS 102a,Laser Ablation ICP-MS,Nd,ppm,177.5,IND
OREAS 102a,Laser Ablation ICP-MS,Tl,ppm,0.4,IND
OREAS 102a,Laser Ablation ICP-MS,Cr,ppm,30.5,IND
OREAS 102a,Laser Ablation ICP-MS,Ni,ppm,16,IND
OREAS 102a,Laser Ablation ICP-MS,Tm,ppm,1.75,IND
OREAS 102a,Laser Ablation ICP-MS,Cs,ppm,2.73,IND
OREAS 102a,Laser Ablation ICP-MS,Pb,ppm,13,IND
OREAS 102a,Laser Ablation ICP-MS,U,ppm,641,IND
OREAS 102a,Laser Ablation ICP-MS,Cu,ppm,284,IND
OREAS 102a,Laser Ablation ICP-MS,Pr,ppm,59.35,IND
OREAS 102a,Laser Ablation ICP-MS,V,ppm,32.5,IND
OREAS 102a,Laser Ablation ICP-MS,Dy,ppm,18.7,IND
OREAS 102a,Laser Ablation ICP-MS,Rb,ppm,268.5,IND
OREAS 102a,Laser Ablation ICP-MS,W,ppm,8.2,IND
OREAS 102a,Laser Ablation ICP-MS,Er,ppm,11.45,IND
OREAS 102a,Laser Ablation ICP-MS,Re,ppm,0.045,IND
OREAS 102a,Laser Ablation ICP-MS,Y,ppm,107,IND
OREAS 102a,Laser Ablation ICP-MS,Eu,ppm,4.19,IND
OREAS 102a,Laser Ablation ICP-MS,Sb,ppm,0.7,IND
OREAS 102a,Laser Ablation ICP-MS,Yb,ppm,11.15,IND
OREAS 102a,Laser Ablation ICP-MS,Ga,ppm,18.6,IND
OREAS 102a,Laser Ablation ICP-MS,Sc,ppm,6.5,IND
OREAS 102a,Laser Ablation ICP-MS,Zn,ppm,< 5,IND
OREAS 102a,Laser Ablation ICP-MS,Gd,ppm,18.4,IND
OREAS 102a,Laser Ablation ICP-MS,Se,ppm,3.75,IND
OREAS 102a,Laser Ablation ICP-MS,Zr,ppm,346.5,IND
OREAS 102a,Laser Ablation ICP-MS,Hf,ppm,10.95,IND
OREAS 102a,Laser Ablation ICP-MS,Sm,ppm,25.55,IND
OREAS 102a,Borate Fusion XRF,Al2O3,wt.%,12.4,IND
OREAS 102a,Borate Fusion XRF,Fe2O3,wt.%,8.16,IND
OREAS 102a,Borate Fusion XRF,Pb,ppm,25,IND
OREAS 102a,Borate Fusion XRF,As,ppm,20,IND
OREAS 102a,Borate Fusion XRF,K2O,wt.%,4.38,IND
OREAS 102a,Borate Fusion XRF,SiO2,wt.%,65.75,IND
OREAS 102a,Borate Fusion XRF,Ba,ppm,305,IND
OREAS 102a,Borate Fusion XRF,MgO,wt.%,2.245,IND
OREAS 102a,Borate Fusion XRF,Sn,ppm,12.5,IND
OREAS 102a,Borate Fusion XRF,CaO,wt.%,1.98,IND
OREAS 102a,Borate Fusion XRF,MnO,wt.%,0.065,IND
OREAS 102a,Borate Fusion XRF,SO3,wt.%,0.2095,IND
OREAS 102a,Borate Fusion XRF,Co,ppm,40,IND
OREAS 102a,Borate Fusion XRF,Na2O,wt.%,0.175,IND
OREAS 102a,Borate Fusion XRF,TiO2,wt.%,0.2845,IND
OREAS 102a,Borate Fusion XRF,Cr,ppm,30,IND
OREAS 102a,Borate Fusion XRF,Ni,ppm,20,IND
OREAS 102a,Borate Fusion XRF,U,ppm,655,IND
OREAS 102a,Borate Fusion XRF,Cu,ppm,290,IND
OREAS 102a,Borate Fusion XRF,P2O5,wt.%,0.144,IND
OREAS 102a,Borate Fusion XRF,Zn,ppm,20,IND
OREAS 102a,Thermogravimetry,LOI1000,wt.%,3.605,IND
OREAS 110,Oxidising Fusion XRF,Al2O3,wt.%,1.184,IND
OREAS 110,Oxidising Fusion XRF,Fe2O3,wt.%,36.385865,IND
OREAS 110,Oxidising Fusion XRF,SnO2,ppm,12.696,IND
OREAS 110,Oxidising Fusion XRF,As,ppm,130,IND
OREAS 110,Oxidising Fusion XRF,K2O,wt.%,0.0395,IND
OREAS 110,Oxidising Fusion XRF,SO3,wt.%,19.41573,IND
OREAS 110,Oxidising Fusion XRF,BaO,ppm,44.66,IND
OREAS 110,Oxidising Fusion XRF,MgO,wt.%,0.5695,IND
OREAS 110,Oxidising Fusion XRF,SrO,ppm,177.39,IND
OREAS 110,Oxidising Fusion XRF,CaO,wt.%,2.446,IND
OREAS 110,Oxidising Fusion XRF,MnO,wt.%,0.034,IND
OREAS 110,Oxidising Fusion XRF,TiO2,wt.%,0.0485,IND
OREAS 110,Oxidising Fusion XRF,Cl,ppm,< 10,IND
OREAS 110,Oxidising Fusion XRF,NiO,ppm,38.175,IND
OREAS 110,Oxidising Fusion XRF,V2O5,ppm,107.112,IND
OREAS 110,Oxidising Fusion XRF,CoO,ppm,31.7875,IND
OREAS 110,Oxidising Fusion XRF,P2O5,wt.%,0.2028066,IND
OREAS 110,Oxidising Fusion XRF,ZnO,ppm,80.912,IND
OREAS 110,Oxidising Fusion XRF,Cr2O3,ppm,36.5375,IND
OREAS 110,Oxidising Fusion XRF,PbO,ppm,32.316,IND
OREAS 110,Oxidising Fusion XRF,ZrO2,ppm,27.016,IND
OREAS 110,Oxidising Fusion XRF,CuO,ppm,1984.103,IND
OREAS 110,Oxidising Fusion XRF,SiO2,wt.%,52.92,IND
OREAS 110,Thermogravimetry,LOI1000,wt.%,5.5,IND
OREAS 110,Laser Ablation ICP-MS,Ag,ppm,0.5,IND
OREAS 110,Laser Ablation ICP-MS,Hf,ppb,285,IND
OREAS 110,Laser Ablation ICP-MS,Sn,ppm,4.1,IND
OREAS 110,Laser Ablation ICP-MS,As,ppm,104,IND
OREAS 110,Laser Ablation ICP-MS,Ho,ppb,125,IND
OREAS 110,Laser Ablation ICP-MS,Sr,ppm,127.5,IND
OREAS 110,Laser Ablation ICP-MS,Ba,ppm,35.5,IND
OREAS 110,Laser Ablation ICP-MS,In,ppm,< 0.05,IND
OREAS 110,Laser Ablation ICP-MS,Ta,ppb,75,IND
OREAS 110,Laser Ablation ICP-MS,Be,ppm,1.3,IND
OREAS 110,Laser Ablation ICP-MS,La,ppm,3.09,IND
OREAS 110,Laser Ablation ICP-MS,Tb,ppb,65,IND
OREAS 110,Laser Ablation ICP-MS,Bi,ppm,0.72,IND
OREAS 110,Laser Ablation ICP-MS,Lu,ppb,60,IND
OREAS 110,Laser Ablation ICP-MS,Te,ppb,200,IND
OREAS 110,Laser Ablation ICP-MS,Cd,ppm,0.2,IND
OREAS 110,Laser Ablation ICP-MS,Mo,ppm,14.5,IND
OREAS 110,Laser Ablation ICP-MS,Th,ppm,4.005,IND
OREAS 110,Laser Ablation ICP-MS,Ce,ppm,4.82,IND
OREAS 110,Laser Ablation ICP-MS,Nb,ppm,0.865,IND
OREAS 110,Laser Ablation ICP-MS,Tl,ppm,1.2,IND
OREAS 110,Laser Ablation ICP-MS,Co,ppm,23.2,IND
OREAS 110,Laser Ablation ICP-MS,Nd,ppm,2.28,IND
OREAS 110,Laser Ablation ICP-MS,Tm,ppb,55,IND
OREAS 110,Laser Ablation ICP-MS,Cr,ppm,31.5,IND
OREAS 110,Laser Ablation ICP-MS,Ni,ppm,22,IND
OREAS 110,Laser Ablation ICP-MS,U,ppm,7.34,IND
OREAS 110,Laser Ablation ICP-MS,Cs,ppm,0.385,IND
OREAS 110,Laser Ablation ICP-MS,Pb,wt.%,0.00475,IND
OREAS 110,Laser Ablation ICP-MS,V,ppm,76.45,IND
OREAS 110,Laser Ablation ICP-MS,Cu,ppm,1640,IND
OREAS 110,Laser Ablation ICP-MS,Pr,ppm,0.54,IND
OREAS 110,Laser Ablation ICP-MS,W,ppm,25.7,IND
OREAS 110,Laser Ablation ICP-MS,Dy,ppm,0.53,IND
OREAS 110,Laser Ablation ICP-MS,Rb,ppm,1.575,IND
OREAS 110,Laser Ablation ICP-MS,Y,ppm,4.37,IND
OREAS 110,Laser Ablation ICP-MS,Er,ppm,0.38,IND
OREAS 110,Laser Ablation ICP-MS,Re,ppb,< 10,IND
OREAS 110,Laser Ablation ICP-MS,Yb,ppb,370,IND
OREAS 110,Laser Ablation ICP-MS,Eu,ppb,165,IND
OREAS 110,Laser Ablation ICP-MS,Sb,ppm,16.9,IND
OREAS 110,Laser Ablation ICP-MS,Zn,ppm,65,IND
OREAS 110,Laser Ablation ICP-MS,Ga,ppm,6.7,IND
OREAS 110,Laser Ablation ICP-MS,Sc,ppm,0.5,IND
OREAS 110,Laser Ablation ICP-MS,Zr,ppm,11.75,IND
OREAS 110,Laser Ablation ICP-MS,Gd,ppm,0.5,IND
OREAS 110,Laser Ablation ICP-MS,Se,ppm,< 5,IND
OREAS 110,Laser Ablation ICP-MS,Ge,ppb,2925,IND
OREAS 110,Laser Ablation ICP-MS,Sm,ppm,0.655,IND
OREAS 110,Infrared Combustion,C,wt.%,0.775,IND
OREAS 110,Infrared Combustion,S,wt.%,7.585,IND
OREAS 111,Oxidising Fusion XRF,Al2O3,wt.%,0.745,IND
OREAS 111,Oxidising Fusion XRF,Fe2O3,wt.%,51.4477545,IND
OREAS 111,Oxidising Fusion XRF,SnO2,ppm,25.392,IND
OREAS 111,Oxidising Fusion XRF,As,ppm,230,IND
OREAS 111,Oxidising Fusion XRF,K2O,wt.%,0.0145,IND
OREAS 111,Oxidising Fusion XRF,SO3,wt.%,99.288672,IND
OREAS 111,Oxidising Fusion XRF,BaO,ppm,22.33,IND
OREAS 111,Oxidising Fusion XRF,MgO,wt.%,0.218,IND
OREAS 111,Oxidising Fusion XRF,SrO,ppm,23.652,IND
OREAS 111,Oxidising Fusion XRF,CaO,wt.%,0.158,IND
OREAS 111,Oxidising Fusion XRF,MnO,wt.%,0.0105,IND
OREAS 111,Oxidising Fusion XRF,TiO2,wt.%,0.04,IND
OREAS 111,Oxidising Fusion XRF,Cl,ppm,< 10,IND
OREAS 111,Oxidising Fusion XRF,NiO,ppm,50.9,IND
OREAS 111,Oxidising Fusion XRF,V2O5,ppm,71.408,IND
OREAS 111,Oxidising Fusion XRF,CoO,ppm,616.6775,IND
OREAS 111,Oxidising Fusion XRF,P2O5,wt.%,0.0504152,IND
OREAS 111,Oxidising Fusion XRF,ZnO,ppm,5533.136,IND
OREAS 111,Oxidising Fusion XRF,Cr2O3,ppm,51.1525,IND
OREAS 111,Oxidising Fusion XRF,PbO,ppm,393.178,IND
OREAS 111,Oxidising Fusion XRF,ZrO2,ppm,13.508,IND
OREAS 111,Oxidising Fusion XRF,CuO,ppm,30418.74,IND
OREAS 111,Oxidising Fusion XRF,SiO2,wt.%,18.2,IND
OREAS 111,Thermogravimetry,LOI1000,wt.%,26.52,IND
OREAS 111,Laser Ablation ICP-MS,Ag,ppm,9,IND
OREAS 111,Laser Ablation ICP-MS,Hf,ppb,175,IND
OREAS 111,Laser Ablation ICP-MS,Sn,ppm,7.6,IND
OREAS 111,Laser Ablation ICP-MS,As,ppm,215.5,IND
OREAS 111,Laser Ablation ICP-MS,Ho,ppb,80,IND
